模型名,版本号,备注,模型路径,知识点讲解,引导式讲题,跨学科教案,情景化出题,平均值,mmlu-pro,math,IFEval,ceval,humaneval,lcb_code,aime2024,平均值,平均值（无aime）,aime2025,"scene004
小学语文😎"
InnoSpark-72B-0710,710,726发布模型,,4.75,4.52,4.38,4.56,4.55,64.75 ,78.24 ,74.72 ,88.06 ,86.59 ,59.58 ,26.67 ,68.37 ,74.03,,
Qwen2.5-72B-instruct​,,,,4.13,4.32,3.87,4.12,4.11,71.01 ​,80.36 ​,88.67 ​,88.15,84.76,55.75,23.75 ​,70.35 ​,76.22,,
Qwen2.5-72B-instruct​(eval_scope),,,,,,,,,71.90,82.00,,85.58,84.76,,30.00 ,,,20,
Qwen-72B-swift,,默认参数,,,,,,,71.42 ,79.80 ,78.55 ,78.15 ,87.20 ,57.06 ,20.00 ,67.45 ,75.36 ,,
Qwen2.5-72B-SFT-ifeval​,,新增ifeval相关数据,,,,,,,72.29 ​,80.16 ​,83.25 ​,81.72 ​,84.15 ​,48.64 ​,16.67 ​,66.70 ​,75.03,,
Qwen2.5-72B-SFT-code,,新增ifeval相关数据和code数据,,,,,,,71.65 ,81.30 ,81.72 ,77.70 ,86.59 ,51.23 ,26.67 ,68.12 ,75.03 ,16.67 ,
Qwen2.5-72B-1124,,,/inspire/hdd/project/ai4education/p-liuwentao/verl_grpo_batch/verl/checkpoints/verl_grpo_qwen2_5_72b/72b-innospark-cif/global_step_165/actor/huggingface,4.61,4.93,4.84,4.44,4.71,75.60 ,88.50 ,83.08 ,88.22 ,85.37 ,63.42 ,36.67 ,74.41 ,80.70 ,30.00,
Qwen2.5-72B-all,,场景数据+IF数据,/inspire/hdd/project/ai4education/p-liuwentao/verl_grpo_batch/verl/checkpoints/verl_grpo_qwen2_5_72b/72b-innospark-cif/global_step_165/actor/huggingface,4.71,4.92,4.83,4.48,4.74,72.61,81.14,83.73,85.78,90.24,54.55,23.33,70.20 ,78.01,23.33,
Qwen2.5-72B-hpc-1208,,,/inspire/hdd/project/ai4education/p-liuwentao/verl_grpo_batch/verl/checkpoints/verl_grpo_qwen2_5_72b/72b_all_1121_math_hpc_cif/global_step_165/actor/huggingface,4.85,4.78,4.76,4.82,4.80,78.5,87.08,88.62,88.845,86.59,62.74,53.33,77.96 ,82.06,40,4.98
Qwen2.5-72B-hpc-1218,,,,4.13,3.61,4.83,4.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qwen2.5-72B-Instruct-HUAWEI,,72B原版,,4.01,4.23,4.32,4.12,4.17,70.84 ,79.28 ,87.27 ,83.56 ,81.71 ,56.47 ,16.67 ,67.97 ,76.52 ,20.00 ,
Qwen2.5-72B-726data-sft-HUAWEI,,726 数据,,4.25,4.16,,4.9,,71.84 ,77.66 ,82.69 ,82.27 ,87.80 ,52.54 ,13.33 ,66.88 ,75.80 ,20,
Qwen2.5-72B-726data-sft-HUAWEI+IF+自我认知,,726 数据+IF+identify,,,,,,,72.06 ,78.76 ,84.62 ,83.08 ,89.63 ,57.50 ,,,77.61 ,,
